UserID,Week,CombinedRiskScore,MITRE_Technique,PlainEnglishExplanation
AAE0190,1,4.6013392,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAE0190,2,4.001339199999999,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAE0190,3,1.6013392,,
AAE0190,6,1.6013392,,
AAE0190,7,1.6013392,,
AAE0190,10,1.6013392,,
AAE0190,11,2.2013391999999996,,
AAE0190,12,2.2013391999999996,,
AAE0190,14,2.2013391999999996,,
AAE0190,15,2.2013391999999996,,
AAE0190,16,2.2013391999999996,,
AAE0190,18,2.2013391999999996,,
AAE0190,19,2.2013391999999996,,
AAE0190,20,1.6013392,,
AAE0190,23,2.2013391999999996,,
AAE0190,24,2.2013391999999996,,
AAE0190,25,1.6013392,,
AAE0190,27,1.0013391999999999,,
AAE0190,28,1.0013391999999999,,
AAE0190,29,1.0013391999999999,,
AAE0190,31,1.6013392,,
AAE0190,32,1.0013391999999999,,
AAE0190,33,1.0013391999999999,,
AAE0190,34,1.0013391999999999,,
AAE0190,36,1.0013391999999999,,
AAE0190,37,1.0013391999999999,,
AAE0190,38,1.0013391999999999,,
AAE0190,40,1.0013391999999999,,
AAE0190,41,1.0013391999999999,,
AAE0190,42,1.0013391999999999,,
AAE0190,45,1.0013391999999999,,
AAE0190,46,1.0013391999999999,,
AAE0190,47,1.0013391999999999,,
AAE0190,49,1.0013391999999999,,
AAE0190,50,1.0013391999999999,,
AAE0190,51,1.0013391999999999,,
AAE0190,53,1.0013391999999999,,
AAE0190,54,1.0013391999999999,,
AAE0190,55,1.0013391999999999,,
AAE0190,56,1.6013392,,
AAE0190,58,1.0013391999999999,,
AAE0190,59,1.0013391999999999,,
AAE0190,60,1.6013392,,
AAE0190,62,1.0013391999999999,,
AAE0190,63,1.0013391999999999,,
AAE0190,64,1.0013391999999999,,
AAE0190,66,1.0013391999999999,,
AAE0190,67,1.0013391999999999,,
AAE0190,68,1.0013391999999999,,
AAE0190,70,1.6013392,,
AAE0190,71,1.6013392,,
AAF0535,1,4.111776659999141,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAF0535,2,4.111776659999141,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAF0535,3,2.9117766599991417,,
AAF0535,6,2.9117766599991417,,
AAF0535,7,2.9117766599991417,,
AAF0535,10,2.9117766599991417,,
AAF0535,11,2.9117766599991417,,
AAF0535,12,2.9117766599991417,,
AAF0535,14,2.9117766599991417,,
AAF0535,15,2.9117766599991417,,
AAF0535,16,2.9117766599991417,,
AAF0535,18,2.9117766599991417,,
AAF0535,19,2.9117766599991417,,
AAF0535,20,2.9117766599991417,,
AAF0535,23,2.9117766599991417,,
AAF0535,24,2.9117766599991417,,
AAF0535,25,2.9117766599991417,,
AAF0535,27,2.3117766599991416,,
AAF0535,28,2.3117766599991416,,
AAF0535,29,2.3117766599991416,,
AAF0535,31,2.9117766599991417,,
AAF0535,32,2.3117766599991416,,
AAF0535,33,2.3117766599991416,,
AAF0791,1,4.6010944,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAF0791,2,4.0010943999999995,,Drivers: Multiple risk signals increased at the same time; Overall system activity was unusually high; Suspicious behavior stayed elevated over several weeks
AAF0791,3,1.6010944,,
AAF0791,6,1.6010944,,
AAF0791,7,1.6010944,,
AAF0791,10,1.6010944,,
AAF0791,11,1.6010944,,
AAF0791,12,1.6010944,,
AAF0791,14,1.6010944,,
AAF0791,15,1.6010944,,
AAF0791,16,1.6010944,,
AAF0791,18,1.6010944,,
AAF0791,19,1.6010944,,
AAF0791,20,1.6010944,,
AAF0791,23,1.6010944,,
AAF0791,24,1.6010944,,
AAF0791,25,1.6010944,,
AAF0791,27,1.0010944,,
AAF0791,28,1.0010944,,
AAF0791,29,1.0010944,,
AAF0791,31,1.6010944,,
AAF0791,32,1.0010944,,
AAF0791,33,1.0010944,,
AAF0791,34,1.0010944,,
AAF0791,36,1.0010944,,
AAF0791,37,1.0010944,,
AAF0791,38,1.0010944,,
AAF0791,40,1.0010944,,
AAF0791,41,1.0010944,,
AAF0791,42,1.0010944,,
AAF0791,45,1.0010944,,
AAF0791,46,1.0010944,,
AAF0791,47,1.0010944,,
AAF0791,49,1.0010944,,
AAF0791,50,1.0010944,,
AAF0791,51,1.0010944,,
AAF0791,53,1.0010944,,
AAF0791,54,1.0010944,,
AAF0791,55,1.0010944,,
AAF0791,56,1.6010944,,
AAF0791,58,1.0010944,,
AAF0791,59,1.0010944,,
AAF0791,60,1.6010944,,
AAF0791,62,1.0010944,,
AAF0791,63,1.0010944,,
AAF0791,64,1.0010944,,
AAF0791,66,1.0010944,,
AAF0791,67,1.0010944,,
AAF0791,68,1.0010944,,
AAF0791,70,1.6010944,,
AAF0791,71,1.6010944,,
AAL0706,1,3.4001872,,
AAL0706,2,3.4001872,,
AAL0706,3,1.6001872,,
AAL0706,6,1.6001872,,
AAL0706,7,1.0001872,,
AAL0706,10,1.6001872,,
AAL0706,11,1.6001872,,
AAL0706,12,1.6001872,,
AAL0706,14,1.6001872,,
AAL0706,15,1.0001872,,
AAL0706,16,1.0001872,,
AAL0706,18,1.6001872,,
AAL0706,19,1.6001872,,
AAL0706,20,1.6001872,,
AAL0706,23,1.0001872,,
AAL0706,24,1.6001872,,
AAL0706,25,1.0001872,,
AAL0706,27,1.0001872,,
AAL0706,28,1.0001872,,
AAL0706,29,1.0001872,,
AAL0706,31,1.6001872,,
AAL0706,32,1.0001872,,
AAL0706,33,1.0001872,,
AAL0706,34,1.0001872,,
AAL0706,36,1.0001872,,
AAL0706,37,1.0001872,,
